timestamp,hr,spo2,temp,acc_x,acc_y,acc_z
14:48:57,79,98,34.81,0.98,-0.02,0.21,4.5
14:48:57,81,97,34.48,0.98,-0.02,0.22,4.5
14:48:57,79,99,34.67,0.99,-0.02,0.22,4.5
14:48:57,79,97,34.44,0.98,-0.02,0.22,4.5
14:48:58,78,99,34.48,0.99,-0.02,0.21,4.5
14:48:58,79,98,34.81,0.99,-0.02,0.22,4.5
14:48:58,79,98,34.67,0.98,-0.02,0.22,4.5
14:48:58,81,99,34.53,0.98,-0.02,0.22,4.5
14:48:58,78,98,34.48,0.99,-0.02,0.22,4.5
14:48:58,77,97,34.48,0.98,-0.02,0.21,4.5
14:48:58,79,99,34.67,0.99,-0.02,0.21,4.5
14:48:58,77,98,34.44,0.98,-0.02,0.22,4.5
14:48:58,78,98,34.29,0.99,-0.01,0.22,4.5
14:48:58,78,98,34.67,0.98,-0.02,0.21,4.5
14:48:58,80,97,34.67,0.99,-0.02,0.22,4.5
14:48:58,77,98,34.72,0.98,-0.02,0.22,4.5
14:48:58,79,99,34.62,0.98,-0.02,0.22,4.5
14:48:58,78,98,34.53,0.98,-0.01,0.22,4.5
14:48:58,77,98,34.62,0.99,-0.02,0.22,4.5
14:48:58,78,97,34.48,0.98,-0.02,0.21,4.5
14:48:58,78,97,34.62,0.98,-0.02,0.22,4.5
14:48:58,78,98,34.48,0.99,-0.02,0.22,4.5
14:48:58,78,98,34.48,0.99,-0.02,0.21,4.5
14:48:59,76,97,34.81,0.98,-0.02,0.21,4.5
14:48:59,76,98,34.48,0.99,-0.02,0.22,4.5
14:48:59,77,99,34.62,0.99,-0.02,0.22,4.5
14:48:59,78,99,34.72,0.98,-0.02,0.22,4.5
14:48:59,77,98,34.67,0.99,-0.02,0.22,4.5
14:48:59,79,97,34.44,0.99,-0.02,0.22,4.5
14:48:59,75,97,34.48,0.98,-0.02,0.22,4.5
14:48:59,79,98,34.62,0.99,-0.02,0.22,4.5
14:48:59,78,98,34.53,0.99,-0.02,0.22,4.5
14:48:59,77,99,34.62,0.99,-0.02,0.22,4.5
14:48:59,79,99,34.48,0.98,-0.03,0.22,4.5
14:48:59,75,97,34.67,0.99,-0.02,0.22,4.5
14:48:59,79,99,34.53,0.98,-0.02,0.22,4.5
14:48:59,75,97,34.34,0.99,-0.02,0.21,4.5
14:48:59,76,97,34.48,0.99,-0.02,0.22,4.5
14:48:59,75,97,34.48,0.99,-0.02,0.21,4.5
14:48:59,77,99,34.72,0.99,-0.02,0.22,4.5
14:48:59,75,97,34.72,0.99,-0.02,0.22,4.5
14:48:59,77,98,34.53,0.98,-0.02,0.21,4.5
14:49:00,76,99,34.53,0.99,-0.03,0.22,4.5
14:49:00,75,98,34.53,0.98,-0.02,0.21,4.5
14:49:00,76,97,34.62,0.98,-0.02,0.22,4.5
14:49:00,74,98,34.62,0.99,-0.02,0.21,4.5
14:49:00,77,98,34.62,0.98,-0.02,0.21,4.5
14:49:00,75,99,34.48,0.98,-0.02,0.21,4.5
14:49:00,75,97,34.48,0.98,-0.03,0.22,4.5
14:49:00,77,99,34.81,0.98,-0.02,0.21,4.5
14:49:00,74,99,34.67,0.99,-0.02,0.22,4.5
14:49:00,73,99,34.72,0.99,-0.02,0.22,4.5
14:49:00,76,97,34.48,0.99,-0.02,0.22,4.5
14:49:00,74,97,34.67,0.98,-0.02,0.21,4.5
14:49:00,75,97,34.48,0.99,-0.02,0.21,4.5
14:49:00,77,98,34.67,0.99,-0.02,0.21,4.5
14:49:00,74,99,34.62,0.99,-0.02,0.22,4.5
14:49:00,73,98,34.44,0.99,-0.02,0.22,4.5
14:49:00,75,98,34.44,0.99,-0.02,0.22,4.5
14:49:00,73,98,34.48,0.99,-0.02,0.22,4.5
14:49:00,73,99,34.62,0.99,-0.02,0.22,4.5
14:49:01,73,98,34.48,0.99,-0.02,0.21,4.5
